,round,roster_id,player_id,picked_by,pick_no,metadata,is_keeper,draft_slot,draft_id
50,5,9,8118,860214724221087744,51,"{'years_exp': '0', 'team': 'CLE', 'status': 'Active', 'sport': 'nfl', 'slot': '3', 'position': 'WR', 'player_id': '8118', 'number': '18', 'news_updated': '1661694004683', 'last_name': 'Bell', 'injury_status': '', 'first_name': 'David', 'amount': '8'}",,3,863992501013442560
51,5,2,3242,860010058744963072,52,"{'years_exp': '6', 'team': 'BAL', 'status': 'Active', 'sport': 'nfl', 'slot': '5', 'position': 'RB', 'player_id': '3242', 'number': '17', 'news_updated': '1661978141154', 'last_name': 'Drake', 'injury_status': '', 'first_name': 'Kenyan', 'amount': '3'}",,5,863992501013442560
52,5,1,5347,499807936168587264,53,"{'years_exp': '4', 'team': 'IND', 'status': 'Active', 'sport': 'nfl', 'slot': '9', 'position': 'RB', 'player_id': '5347', 'number': '21', 'news_updated': '1662318346450', 'last_name': 'Hines', 'injury_status': '', 'first_name': 'Nyheim', 'amount': '7'}",,9,863992501013442560
53,5,5,6083,860612709442498560,54,"{'years_exp': '3', 'team': 'LAR', 'status': 'Active', 'sport': 'nfl', 'slot': '1', 'position': 'K', 'player_id': '6083', 'number': '8', 'news_updated': '1661661361233', 'last_name': 'Gay', 'injury_status': '', 'first_name': 'Matt', 'amount': '6'}",,1,863992501013442560
54,5,12,7042,860011165475012608,55,"{'years_exp': '2', 'team': 'BUF', 'status': 'Active', 'sport': 'nfl', 'slot': '7', 'position': 'K', 'player_id': '7042', 'number': '2', 'news_updated': '1661088624076', 'last_name': 'Bass', 'injury_status': '', 'first_name': 'Tyler', 'amount': '5'}",,7,863992501013442560
55,5,6,7839,741517785796116480,56,"{'years_exp': '1', 'team': 'CIN', 'status': 'Active', 'sport': 'nfl', 'slot': '10', 'position': 'K', 'player_id': '7839', 'number': '2', 'news_updated': '1661648760498', 'last_name': 'McPherson', 'injury_status': '', 'first_name': 'Evan', 'amount': '5'}",,10,863992501013442560
56,5,12,5086,860011165475012608,57,"{'years_exp': '4', 'team': 'KC', 'status': 'Active', 'sport': 'nfl', 'slot': '7', 'position': 'WR', 'player_id': '5086', 'number': '11', 'news_updated': '1661797246465', 'last_name': 'Valdes-Scantling', 'injury_status': '', 'first_name': 'Marquez', 'amount': '2'}",,7,863992501013442560
57,5,2,4951,860010058744963072,58,"{'years_exp': '4', 'team': 'DET', 'status': 'Active', 'sport': 'nfl', 'slot': '5', 'position': 'WR', 'player_id': '4951', 'number': '4', 'news_updated': '1661751048685', 'last_name': 'Chark', 'injury_status': '', 'first_name': 'DJ', 'amount': '2'}",,5,863992501013442560
58,5,9,17,860214724221087744,59,"{'years_exp': '16', 'team': 'ARI', 'status': 'Active', 'sport': 'nfl', 'slot': '3', 'position': 'K', 'player_id': '17', 'number': '5', 'news_updated': '1661655361333', 'last_name': 'Prater', 'injury_status': '', 'first_name': 'Matt', 'amount': '1'}",,3,863992501013442560
59,5,2,7527,860010058744963072,60,"{'years_exp': '1', 'team': 'NE', 'status': 'Active', 'sport': 'nfl', 'slot': '5', 'position': 'QB', 'player_id': '7527', 'number': '10', 'news_updated': '1661781610069', 'last_name': 'Jones', 'injury_status': '', 'first_name': 'Mac', 'amount': '1'}",,5,863992501013442560
60,6,3,7594,873775956610285568,61,"{'years_exp': '1', 'team': 'CAR', 'status': 'Active', 'sport': 'nfl', 'slot': '6', 'position': 'RB', 'player_id': '7594', 'number': '30', 'news_updated': '1661573414737', 'last_name': 'Hubbard', 'injury_status': '', 'first_name': 'Chuba', 'amount': '1'}",,6,863992501013442560
61,6,4,1433,741506726259523584,62,"{'years_exp': '9', 'team': 'DEN', 'status': 'Active', 'sport': 'nfl', 'slot': '8', 'position': 'K', 'player_id': '1433', 'number': '8', 'news_updated': '1661708707835', 'last_name': 'McManus', 'injury_status': '', 'first_name': 'Brandon', 'amount': '1'}",,8,863992501013442560
62,6,1,650,499807936168587264,63,"{'years_exp': '15', 'team': 'NE', 'status': 'Active', 'sport': 'nfl', 'slot': '9', 'position': 'K', 'player_id': '650', 'number': '6', 'news_updated': '1661609154882', 'last_name': 'Folk', 'injury_status': '', 'first_name': 'Nick', 'amount': '1'}",,9,863992501013442560
63,6,6,4973,741517785796116480,64,"{'years_exp': '4', 'team': 'CIN', 'status': 'Active', 'sport': 'nfl', 'slot': '10', 'position': 'TE', 'player_id': '4973', 'number': '88', 'news_updated': '1662136549031', 'last_name': 'Hurst', 'injury_status': '', 'first_name': 'Hayden', 'amount': '3'}",,10,863992501013442560
64,6,2,1825,860010058744963072,65,"{'years_exp': '8', 'team': 'NO', 'status': 'Active', 'sport': 'nfl', 'slot': '5', 'position': 'WR', 'player_id': '1825', 'number': '80', 'news_updated': '1661574316061', 'last_name': 'Landry', 'injury_status': '', 'first_name': 'Jarvis', 'amount': '1'}",,5,863992501013442560
65,6,3,5947,873775956610285568,66,"{'years_exp': '3', 'team': 'NE', 'status': 'Active', 'sport': 'nfl', 'slot': '6', 'position': 'WR', 'player_id': '5947', 'number': '16', 'news_updated': '1661793646961', 'last_name': 'Meyers', 'injury_status': 'Questionable', 'first_name': 'Jakobi', 'amount': '1'}",,6,863992501013442560
66,6,4,4149,741506726259523584,67,"{'years_exp': '5', 'team': 'DET', 'status': 'Active', 'sport': 'nfl', 'slot': '8', 'position': 'RB', 'player_id': '4149', 'number': '30', 'news_updated': '1661751048690', 'last_name': 'Williams', 'injury_status': '', 'first_name': 'Jamaal', 'amount': '1'}",,8,863992501013442560
67,6,6,6951,741517785796116480,68,"{'years_exp': '2', 'team': 'ARI', 'status': 'Active', 'sport': 'nfl', 'slot': '10', 'position': 'RB', 'player_id': '6951', 'number': '26', 'news_updated': '1661661061317', 'last_name': 'Benjamin', 'injury_status': '', 'first_name': 'Eno', 'amount': '1'}",,10,863992501013442560
68,6,11,1348,860010803301076992,69,"{'years_exp': '9', 'team': 'LAC', 'status': 'Active', 'sport': 'nfl', 'slot': '12', 'position': 'K', 'player_id': '1348', 'number': '6', 'news_updated': '1661915454361', 'last_name': 'Hopkins', 'injury_status': '', 'first_name': 'Dustin', 'amount': '1'}",,12,863992501013442560
69,6,4,8126,741506726259523584,70,"{'years_exp': '0', 'team': 'NYG', 'status': 'Active', 'sport': 'nfl', 'slot': '8', 'position': 'WR', 'player_id': '8126', 'number': '17', 'news_updated': '1661720135304', 'last_name': 'Robinson', 'injury_status': '', 'first_name': ""Wan'Dale"", 'amount': '1'}",,8,863992501013442560
70,6,6,4892,741517785796116480,71,"{'years_exp': '4', 'team': 'CAR', 'status': 'Active', 'sport': 'nfl', 'slot': '10', 'position': 'QB', 'player_id': '4892', 'number': '6', 'news_updated': '1661617554730', 'last_name': 'Mayfield', 'injury_status': '', 'first_name': 'Baker', 'amount': '1'}",,10,863992501013442560
71,6,4,6814,741506726259523584,72,"{'years_exp': '2', 'team': 'CAR', 'status': 'Active', 'sport': 'nfl', 'slot': '8', 'position': 'WR', 'player_id': '6814', 'number': '15', 'news_updated': '1661811611229', 'last_name': 'Shenault', 'injury_status': '', 'first_name': 'Laviska', 'amount': '1'}",,8,863992501013442560
